,Global X,Global Y,CD45RO,N/A,CD31,N/A,N/A,N/A,N/A,pan-CK,PD-1,Ki-67,cyclin D,b-actin,CD3,CD4,N/A,CD16,N/A,N/A,PD-L1,ATPase,Granzyme B,P53,NF-kB,PTEN,p-ERK1/2,N/A,Caspase 3
23,5608,12244,461.3,481.16,478.28,471.86,470.89,423.92,454.25,472.08,413.46,539.73,459.18,429.36,533.74,468.3,455.59,439.54,510.78,366.64,407.13,510.11,418.3,353.26,522.28,405.58,375.98,356.76,424.56
24,7952,12492,504,425.9,422.28,487.46,432.84,425.66,439.4,435.52,413.74,515.03,402.33,440.21,570.16,437.2,415.4,483.06,398.86,423.22,390.26,386.88,412.32,369.32,424.63,406.5,442.56,402.91,423.38
25,5622,13682,476.22,517.26,484.88,475.24,455.57,479.16,374.6,470.56,458.3,542.46,404.78,450.19,617.06,464.6,457.68,447.43,534.47,554.67,510.36,472.29,463.42,513.01,581.74,498.34,352.66,609.33,424.76
26,21242,15185,523.36,545.88,493.06,509.72,486.24,545.95,543.32,522.09,546.92,506.84,501.02,512.16,515.6,484.4,532.48,512.08,504.92,524.58,482.02,472.32,534.36,541.07,449.1,505.62,510.36,506.48,516.02
27,6418,7937,328.98,248.34,273.92,309.27,272.48,302.48,314.19,296.13,272.59,323.24,301.18,300.08,253.98,273.18,280.34,293.71,278.79,304.35,252.68,259.9,240.6,278.76,283.77,307.28,281.78,304.11,319.35
28,5125,8332,620.74,603.72,480.6,498.76,504.58,428.65,479.4,430.93,466.02,629.6,496.38,584.89,615.08,580.26,470.72,540.46,518.18,462.5,603.58,465.79,458.38,553.13,619.88,510.24,491.61,458.23,577.2
29,5395,8397,597.71,578.36,589.67,498.85,664.66,556.48,585.87,539.27,553.46,658.68,507.97,570.38,726.9,591.94,500.9,536.6,565.29,563.7,575.08,677.9,635.14,499.3,618.58,545.48,455.48,559.85,567.03
30,7661,15437,485.18,445.8,423.92,468.39,422.17,437.93,418.7,435.7,431.02,468.04,451.04,472.66,470.46,435.46,453.54,440.38,435.08,441.99,384.4,444.28,397.22,464.38,503.48,430.69,417.23,420.75,406.78
31,5821,9557,395.92,466.02,415.84,481.98,428.88,400.62,398.32,424.7,401.4,410.95,401,418.51,480.68,413.15,416.97,377.2,367.8,400,436.96,392.44,373.16,458.76,477.88,410.02,395.83,413.8,428.46
32,16503,18795,457.32,380.68,463.67,437.69,410.34,437.46,447.51,373.78,427.48,431.04,423.44,441.5,387.3,391.34,417.64,441.78,404.25,457.38,434.19,416.72,405.05,433.31,418.08,438.2,393.28,422.17,440.5
33,21298,8058,497.69,533.24,515.78,557.64,511.03,546.65,546.83,490.16,490.42,553.36,572.2,578.74,611.82,541.8,471.26,511.9,488.78,495.1,558.08,538.68,560.74,552.64,551.82,526.72,480.67,486.54,486.3
34,12329,11645,460.68,510.14,538.08,416.56,456.79,516.68,475.38,525.88,560.89,583,537.29,534.18,612.68,620.99,536.14,554.83,428.32,586.2,480.6,436.88,382.88,456.82,433.58,606.89,574.48,506,416.9
35,7579,14283,470.38,350.94,369.5,258.34,292.47,359.08,394.14,339.16,363.49,365.52,356.3,401.16,501.4,320.58,419.18,413.26,403.05,361.8,432.67,380.38,370.86,327.42,315.76,349.03,237.18,309.5,361.15
36,1837,7451,414.2,443.88,440.68,462.49,443.8,446.5,425.27,447.32,486.58,448.8,465.44,403.16,503.98,423.6,373,418.98,392.63,417.96,401.78,433.5,560.17,431.72,326.86,412.95,439.91,419.34,395.86
37,395,14819,432.31,428.62,438.88,481.69,396.89,404.44,455.5,442.54,451.99,458.53,484.7,449.91,377.05,431.49,462.7,428.31,431.7,489.8,475.64,471.94,450.07,469.19,457.25,452.1,444.91,458.43,430.46
38,735,9731,456.08,406.3,469.08,378.38,381.84,405.14,504.41,409.88,445.2,369.5,402.14,446.48,425.84,400.42,389.76,402.32,400.7,463.86,377,427.1,437.94,402.74,441.04,420.53,431.72,363.08,416.11
39,14845,16860,527.37,512.46,502.1,514.79,425.7,468.62,511.36,458.7,499.62,533.12,553.76,489.51,463.52,517.49,467.66,515.07,465.18,517.78,500,497.78,542.4,490.34,513.24,487.48,474.54,531.98,476.14
40,11487,15649,443.68,420.58,421.38,436.61,492.58,437.42,566.38,441.36,453.96,569.96,464,734.86,739.52,533.91,457.42,576,398.62,411.73,535.53,511.28,551.22,389.48,632.67,442.05,322.18,389.39,514.1
41,6310,11437,446.2,399.48,457.48,429.51,421.18,401.3,411.05,454.38,406.82,449.39,487.05,404.88,447.53,497.65,420.12,431.16,404.33,380.08,502.73,492.41,384.24,506.73,482.25,439.76,525.9,404.92,416.89
42,21176,12411,435.61,421.38,416.07,389.4,462.36,436.74,444.16,409.48,407.6,423.36,425.22,465.96,459.07,418.48,439.79,440.28,418.41,436.28,474.03,412.32,442.47,417.18,382.58,436.37,416.47,397.35,422.81
43,9818,16491,449.26,428.06,435.48,451.24,403.69,390.88,403.28,411.54,456.91,467.48,377.38,431.06,424.1,392.92,419.44,410.66,402.74,417.57,401.6,409.88,367.46,408.24,440.9,403.51,470.64,367.46,405.85
44,18308,17141,487.04,561.86,516.6,391.58,461.85,494.74,478.72,457.04,426.34,556.83,481.5,445.62,500.16,525.39,490.93,499.03,522.93,459.29,540.9,506.44,483.6,506.43,513.82,470.94,403.14,473.08,410.44
