	Global X	Global Y	CD45RO	N/A	CD31	N/A	N/A	N/A	N/A	pan-CK	PD-1	Ki-67	cyclin D	b-actin	CD3	CD4	N/A	CD16	N/A	N/A	PD-L1	ATPase	Granzyme B	P53	NF-kB	PTEN	p-ERK1/2	N/A	Caspase 3
18	6061.0	11174.0	356.3	386.41999999999996	403.70000000000005	426.98	415.18	401.46000000000004	461.34000000000003	400.08000000000004	425.88	439.46000000000004	386.48	435.58000000000004	463.05	447.42999999999995	399.51	474.06	466.47	397.86	360.88	459.87	446.3	400.45000000000005	402.3	424.28	412.96000000000004	422.7	431.54
19	1483.0	21212.0	370.76	370.86	414.06000000000006	419.9	393.34000000000003	303.34000000000003	447.06000000000006	385.94	382.32	390.02	398.78000000000003	387.65	398.03000000000003	395.28000000000003	388.9	392.96999999999997	385.77	388.94	356.03999999999996	390.91999999999996	434.78	372.18	367.74	317.6	390.86	395.84000000000003	342.7
20	11634.0	13534.0	445.59000000000003	373.27	445.36	445.94	435.78	431.08000000000004	423.28	409.45000000000005	420.57000000000005	422.69	414.54	482.62	511.42	454.31	413.46	429.73	446.70000000000005	409.58000000000004	431.86	418.0	470.78	456.48	410.5	407.79	452.67	402.0	418.88
21	2578.0	11444.0	519.9300000000001	610.54	513.8599999999999	512.1800000000001	667.09	651.44	543.91	601.1600000000001	667.52	589.72	608.86	603.2	649.52	588.9200000000001	485.70000000000005	542.1	645.83	627.85	490.88	539.5799999999999	651.6600000000001	637.78	507.5	655.28	504.27000000000004	558.5	620.36
22	1352.0	8246.0	557.3399999999999	487.46000000000004	521.94	515.4	542.6800000000001	602.63	537.7	521.63	840.88	661.9300000000001	565.89	537.81	631.9200000000001	705.78	677.16	572.78	631.88	541.36	826.19	510.98	695.0699999999999	524.96	455.79	523.24	592.5	495.54	617.54
23	2047.0	7545.0	448.52	553.41	397.58	485.76	496.76	428.66	412.94	449.53	449.26	423.02	408.66	456.54	413.82	424.25	415.46000000000004	406.85	450.78999999999996	408.88	440.24	414.78	440.6	389.24	382.94000000000005	422.52	381.01	431.35	397.26
24	544.0	10167.0	455.14	488.46000000000004	437.08000000000004	417.02	441.77	436.78	440.34000000000003	446.62	448.77	438.14	395.32	489.44	432.31	442.43	460.34000000000003	438.20000000000005	431.38	406.04999999999995	397.13	479.4	477.48	484.39	428.33000000000004	377.73	381.18	473.36	411.41999999999996
25	9650.0	17855.0	386.99	289.78	384.18	438.18	378.24	418.28	396.41999999999996	419.84000000000003	366.32	392.78999999999996	394.17999999999995	276.08000000000004	317.6	466.68	415.52	462.82	409.88	381.53999999999996	240.26	315.68	449.69000000000005	417.55	503.5	441.18	413.02	489.2	406.08
26	7877.0	15546.0	318.1	401.76	510.28000000000003	479.0	481.18	465.49	441.1	439.82	443.34000000000003	489.35	443.67	461.06000000000006	341.1	427.06	457.12	413.89	441.90999999999997	397.36	448.48	440.66	449.19	460.88	426.4	417.04	449.18	432.21000000000004	432.81
27	11870.0	18407.0	657.3	578.5799999999999	570.06	510.96	576.48	557.24	549.08	523.42	597.38	552.31	515.3199999999999	483.64	518.22	568.38	503.2800000000001	558.37	523.67	573.62	634.52	497.09000000000003	560.76	555.46	571.7	582.54	508.46000000000004	649.98	523.3199999999999
28	5254.0	15492.0	262.22	254.56	260.88	257.68000000000006	257.74	251.84	254.68	256.98	255.88	256.1	256.4	248.73000000000002	265.7	254.36	258.73	257.78000000000003	257.75	253.44000000000003	249.58	258.0	251.18	256.98	256.15999999999997	259.29	247.94	255.2	255.10000000000002
29	6816.0	9872.0	369.28	405.24	418.63	421.36	336.58000000000004	386.18	356.26	395.85	370.46000000000004	386.48	437.96000000000004	405.06000000000006	452.3	458.18	390.36	370.1600000000001	359.87	395.28	356.49	431.94	351.20000000000005	383.4	439.76	372.38	363.17	350.09000000000003	380.04
30	9263.0	13433.0	388.63	565.2	602.95	614.02	407.04	569.73	545.9000000000001	545.1	621.63	628.0799999999999	516.46	572.55	494.88000000000005	529.76	543.78	561.2	504.84	597.44	428.87	568.24	546.89	577.64	430.44	563.6600000000001	570.58	513.8399999999999	574.88
31	5380.0	11120.0	379.74	351.08000000000004	356.21999999999997	361.07	338.56000000000006	328.6	415.86	389.88	402.38	373.46000000000004	389.38	344.34000000000003	380.46000000000004	351.3	359.29	422.16	346.53999999999996	340.46000000000004	403.34000000000003	382.66	335.58000000000004	371.58000000000004	432.03999999999996	349.18	380.86	360.46	383.98
32	16721.0	18932.0	378.18	391.06000000000006	403.15999999999997	498.43	562.9399999999999	412.78	441.09000000000003	376.03999999999996	405.72	481.98	434.1	480.78000000000003	441.66	441.74	454.38	438.23	419.16	432.1	459.48	422.32	504.36	408.43000000000006	377.76	407.68	423.09000000000003	368.68	412.07000000000005
